Date;SP/GOLD;MM7
01/03/1940;0,359659425;0,357337293
01/04/1940;0,357897827;0,3578561
01/05/1940;0,272166765;0,356760634
01/06/1940;0,293012331;0,355342153
01/07/1940;0,302113917;0,354463781
01/08/1940;0,310041104;0,353167069
01/09/1940;0,312977099;0,352471989
01/10/1940;0,32530828;0,352314988
01/11/1940;0,311509102;0,351579944
01/12/1940;0,310628303;0,350735471
01/01/1941;0,295654727;0,350455851
01/02/1941;0,291250734;0,350263257
01/03/1941;0,292425132;0,350088046
01/04/1941;0,273341163;0,349784285
01/05/1941;0,274515561;0,34978362
01/06/1941;0,289195537;0,349889689
01/07/1941;0,305049912;0,350568855
01/08/1941;0,302407516;0,351056699
01/09/1941;0,299471521;0,351526598
01/10/1941;0,278919554;0,35185047
01/11/1941;0,267175573;0,351786234
01/12/1941;0,255137992;0,351592299
01/01/1942;0,258661186;0,35157636
01/02/1942;0,252201996;0,351605976
01/03/1942;0,235173224;0,351524705
01/04/1942;0,22489724;0,35104559
01/05/1942;0,239283617;0,350635701
01/06/1942;0,24368761;0,350057153
01/07/1942;0,251321198;0,349280364
01/08/1942;0,253082795;0,348442914
01/09/1942;0,259835584;0,347594018
01/10/1942;0,276570757;0,346648432
01/11/1942;0,272753964;0,345490741
01/12/1942;0,286846741;0,344337556
01/01/1943;0,307398708;0,343129718
01/02/1943;0,322959483;0,342025494
01/03/1943;0,339988256;0,340998143
01/04/1943;0,340281856;0,340365444
01/05/1943;0,355549031;0,339700211
01/06/1943;0,36259542;0,338969205
01/07/1943;0,342924251;0,33766048
01/08/1943;0,346447446;0,336346078
01/09/1943;0,354668233;0,335122741
01/10/1943;0,34997064;0,333435317
01/11/1943;0,323546682;0,331409512
01/12/1943;0,342630652;0,329644911
01/01/1944;0,347915443;0,327722136
01/02/1944;0,347034645;0,325700439
01/03/1944;0,352906635;0,323806471
01/04/1944;0,348502642;0,322366876
01/05/1944;0,36259542;0,321152876
01/06/1944;0,38109219;0,320451593
01/07/1944;0,373165003;0,319118523
01/08/1944;0,376394598;0,318143629
01/09/1944;0,3752202;0,317930264
01/10/1944;0,3752202;0,318193089
01/11/1944;0,376688197;0,318898561
01/12/1944;0,389900176;0,319951794
01/01/1945;0,384857143;0,320897373
01/02/1945;0,408571429;0,321904175
01/03/1945;0,389714286;0,323652475
01/04/1945;0,424;0,325400774
01/05/1945;0,428857143;0,327353155
01/06/1945;0,427428571;0,328509617
01/07/1945;0,418857143;0,329278325
01/08/1945;0,443142857;0,330451794
01/09/1945;0,461714286;0,331785128
01/10/1945;0,475714286;0,332968801
01/11/1945;0,491142857;0,334485808
01/12/1945;0,496;0,335897373
01/01/1946;0,530571429;0,337992639
01/02/1946;0,493714286;0,33951186
01/03/1946;0,516571429;0,341893451
01/04/1946;0,536;0,344526926
01/05/1946;0,548;0,347069899
01/06/1946;0,526571429;0,349611719
01/07/1946;0,513142857;0,351588728
01/08/1946;0,475714286;0,35341529
01/09/1946;0,427428571;0,354035579
01/10/1946;0,424;0,354680255
01/11/1946;0,419142857;0,355483309
01/12/1946;0,437142857;0,356401127
01/01/1947;0,447428571;0,357515902
01/02/1947;0,440857143;0,358524485
01/03/1947;0,433428571;0,359402689
01/04/1947;0,416571429;0,360101184
01/05/1947;0,412857143;0,361776069
01/06/1947;0,434571429;0,363461297
01/07/1947;0,450285714;0,365225247
01/08/1947;0,437714286;0,366745166
01/09/1947;0,431714286;0,368158704
01/10/1947;0,440857143;0,369534285
01/11/1947;0,428285714;0,370924483
01/12/1947;0,437142857;0,372430609
01/01/1948;0,419714286;0,373907508
01/02/1948;0,4;0,375202142
01/03/1948;0,430857143;0,376850142
01/04/1948;0,442285714;0,378861387
01/05/1948;0,476857143;0,381270215
01/06/1948;0,478285714;0,383521289
01/07/1948;0,452857143;0,385280899
01/08/1948;0,456285714;0,387112782
01/09/1948;0,442571429;0,388816352
01/10/1948;0,472571429;0,391121732
01/11/1948;0,421428571;0,392958077
01/12/1948;0,434285714;0,395090788
01/01/1949;0,477415307;0,397695004
01/02/1949;0,45859473;0,40015206
01/03/1949;0,472396487;0,402976147
01/04/1949;0,462358846;0,405803071
01/05/1949;0,44510665;0,408253345
01/06/1949;0,444165621;0,410639988
01/07/1949;0,471769134;0,413264368
01/08/1949;0,477415307;0,415934993
01/09/1949;0,488707654;0,418659661
01/10/1949;0,503136763;0,421356875
01/11/1949;0,503764115;0,424106996
01/12/1949;0,525721455;0,426950742
01/01/1950;0,487142857;0,429090554
01/02/1950;0,492;0,431102941
01/03/1950;0,494;0,432936414
01/04/1950;0,516285714;0,435031698
01/05/1950;0,536571429;0,437186727
01/06/1950;0,505428571;0,438887121
01/07/1950;0,509714286;0,440872717
01/08/1950;0,526285714;0,443013649
01/09/1950;0,555714286;0,445407054
01/10/1950;0,558;0,447883594
01/11/1950;0,557428571;0,450667902
01/12/1950;0,583142857;0,453531143
01/01/1951;0,618857143;0,456756639
01/02/1951;0,622857143;0,46004024
01/03/1951;0,611428571;0,463117882
01/04/1951;0,640857143;0,466598293
01/05/1951;0,614857143;0,469601409
01/06/1951;0,598857143;0,472193849
01/07/1951;0,64;0,475370456
01/08/1951;0,665142857;0,478807935
01/09/1951;0,664571429;0,482252593
01/10/1951;0,655428571;0,485588407
01/11/1951;0,653714286;0,488886336
01/12/1951;0,679142857;0,492329702
01/01/1952;0,695877775;0,496032328
01/02/1952;0,670510233;0,499150647
01/03/1952;0,702507927;0,502874381
01/04/1952;0,672239839;0,505829617
01/05/1952;0,687806284;0,508912345
01/06/1952;0,719515711;0,512389573
01/07/1952;0,732199481;0,516119839
01/08/1952;0,721533583;0,519434014
01/09/1952;0,707408475;0,522358945
01/10/1952;0,70683194;0,525110346
01/11/1952;0,739694436;0,528069293
01/12/1952;0,76592678;0,531282707
01/01/1953;0,753714286;0,53393917
01/02/1953;0,74;0,536871142
01/03/1953;0,722571429;0,539323523
01/04/1953;0,703428571;0,541316721
01/05/1953;0,701142857;0,54313985
01/06/1953;0,689714286;0,545082027
01/07/1953;0,707142857;0,547391551
01/08/1953;0,666285714;0,549660258
01/09/1953;0,667142857;0,552514
01/10/1953;0,701142857;0,555813319
